ID;Mnemonic name;Papers;Collaboration subject;Multi-views;Multi-view scenarios;Language-specific;Language(s) adaptation;Modeling framework;Reuse support;Validation support;Editor type;Client type;Tool support - CLIENT;Workspace awareness;Roles;Approach-specific stakeholders;Stakeholder types;Collaborating parties;Collaboration types;Collaboration workflow;Diff/merge domain;Versioning support;VCS architecture;Branching;Model merging support;Conflict detection;Conflict resolution support;Consistency model;Conflict awareness - user;Conflict mgmt approach;Locking;Network architecture;Shared workspace;Communication type;Communication means - builtin;Communication means - external;Communication means - mixed;Communication means links;Design decision: discussion;Design decision: session history
4;AME;3;M1;SYNTHETIC;MULTI-USER SINGLE-VIEW;;IMPORT;EMF;;;GRA;BROWSER;RTU;UPED;;NONTECH, DEVELOPER, FUNCTIONAL ANALYST, USABILITY EXPERT, DOMAIN EXPERT, DESIGNER;TECH, NONTECH;HUMAN-HUMAN;SYNCH;;SYNTACTIC;;;;;;;STRONG;;;;CENTRALIZED: SINGLE SERVER;REMOTE;ASYNCHRONOUS;;;;;;
22;AMOR;3;M1;;MULTI-USER SINGLE-VIEW;;INFER;CUSTOM;;;GRA, TREE;DESKTOP;INS;HCE, UPED, USER_ACTION;;;TECH;HUMAN-HUMAN;ASYNEDIT_SYNCONFL;YES;SYNTACTIC;MODELS;CENTRALIZED;;YES;YES;MANUAL, AUTO;EVENTUAL;PROMPT ACTION;;;CENTRALIZED: SINGLE SERVER;REMOTE;SYNCHRONOUS;CHAT, PROPOSALS, VOTING;;;PROPOSALS, VOTING;CHAT;
16;ATOMPM;6;M1, M2, M3;PROJECTIVE, SYNTHETIC;MULTI-USER SINGLE-VIEW, MULTI-VIEW SINGLE-MODEL;;IMPORT;CUSTOM, ATOMPM;;RULES, CONSTRAINTS;GRA, TEX;BROWSER;RTU;UPED, NTF;ADMIN, READER, USER;;TECH, NONTECH;HUMAN-HUMAN;SYNCH, REAL-TIME;YES;SYNTACTIC;;;;;;MANUAL;STRONG;;;;CENTRALIZED: SINGLE SERVER;REMOTE;SYNCHRONOUS, ASYNCHRONOUS;CHAT;EMAIL;EMAIL;;CHAT;
C10;ACTIVEDSLS;1;M1;PROJECTIVE;MULTI-USER SINGLE-VIEW;;;EMF;;;GRA;MOBILE;INS;NTF;MODELER, FACILITATOR;NONTECH, USER, DEVELOPER;TECH, NONTECH;HUMAN-HUMAN;REAL-TIME;;SYNTACTIC;;;;;;;EVENTUAL;;PREVENTIVE;PESSIMISTIC: PARTLOCK;CENTRALIZED: MULTIPLE SERVERS;REMOTE;SYNCHRONOUS;CHAT, PROPOSALS, CALLFORATTENTION;EMAIL;HYPERLINKS;;CHAT;
38;ARGOECLIPSE;1;M1;;MULTI-USER SINGLE-VIEW;UML;;EMF;ELEM;;GRA;DESKTOP;INS;CONFLICTLIST, NTF, USER_ACTION;;;TECH;HUMAN-HUMAN;ASYNC;YES;SYNTACTIC;MODELS;CENTRALIZED;YES;YES;YES;MANUAL, AUTO;STRONG;WARNING;;PESSIMISTIC: PARTLOCK;CENTRALIZED: SINGLE SERVER;REMOTE;ASYNCHRONOUS;FEEDBACK;;;FEEDBACK;;
C17;ARTICULATION;1;M1;SYNTHETIC;SINGLE-VIEW MULTI-MODEL;;;BPMS;;;GRA;DESKTOP;;;ADMIN;NONTECH, DOMAIN (PROCESS) EXPERT, BUSINESS DOMAIN EXPERT;TECH, NONTECH;HUMAN-HUMAN;REAL-TIME;YES;SEMANTIC;;;;;;MANUAL;EVENTUAL;;ALLOW&RESOLVE;;MIXED;SAMEPLACE;ASYNCHRONOUS;CALLFORATTENTION;FACE-TO-FACE;;FACE-TO-FACE;FACE-TO-FACE;
C28;AYDEMIR;1;M1;SYNTHETIC;MULTI-VIEW SINGLE-MODEL;;;PACAS;;RULES;;BROWSER;RTU;;MODELER;MODELER;TECH, NONTECH;HUMAN-HUMAN;OFF-LINE MANUAL CHANGE PROPAGATION;YES;;;;;;;;EVENTUAL;;;;CENTRALIZED: SINGLE SERVER;REMOTE;ASYNCHRONOUS;FEEDBACK;;;;;
45;BP-MOKI;1;M1;;MULTI-USER SINGLE-VIEW;BPMN;;CUSTOM;;CONSTRAINTS;GRA, TEX;BROWSER;RTU;WIKI, NTF;FACILITATOR, PROJECTLEADER;BUSINESS ANALYST;TECH, NONTECH;HUMAN-HUMAN;ASYNC;YES;SEMANTIC;WIKI;CENTRALIZED;;;YES: ONTOLOGICAL;;EVENTUAL;WARNING;;PESSIMISTIC: PARTLOCK;CENTRALIZED: SINGLE SERVER;REMOTE;ASYNCHRONOUS;FORUM, VOTING, COMMENTS;;;;FORUM, COMMENTS;
C27;BLOCKCHAINS;2;M1;SYNTHETIC;MULTI-VIEW SINGLE-MODEL;BPMN, SOM IAS;;CUSTOM;;;GRA;DESKTOP;INS;VCS;BUSINES PROCESS MODELER;BUSINESS PROCESS MODELER, INTERNAL AND EXTERNAL STAKEHOLDERS;TECH;HUMAN-HUMAN;OFF-LINE AUTOMATED CHANGE PROPAGATION;YES;SYNTACTIC;EXTERNAL: GENERIC VCS;DISTRIBUTED;MULTI-BRANCHING;YES;YES;MANUAL;STRONG;WARNING;ALLOW&RESOLVE;;CENTRALIZED: MULTIPLE SERVERS, P2P;REMOTE;ASYNCHRONOUS;;;;;;
37;C-PRAXIS;2;M1;;MULTI-USER SINGLE-VIEW;UML;;UML;;RULES;;DESKTOP;INS;UPED;SENIOR, JUNIOR;;TECH;HUMAN-HUMAN;ASYNCOMMIT;YES;SEMANTIC;;;;;YES;MANUAL, AUTO;EVENTUAL;;;;P2P;REMOTE;;;;;;;
